,File Name,Position,salary_start,salary_end,opendate,requirements,duties,deadline,selection,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EDUCATION_YEARS,SCHOOL_TYPE
19,AIRPORTS MAINTENANCE SUPERINTENDENT 3331 021518.txt,airports maintenance superintendent,"90,369","$132,108",2018-02-16,"1. Two years of full-time paid experience as an Airports Maintenance Supervisor, or in a class which is at that level, supervising employees engaged in building equipment maintenance and operation, equipment operation, fleet maintenance, fleet equipment procurement, construction, or street maintenance; or2. Four years of full-time paid experience as a Senior Building Operating Engineer, or in a class which is at that level, as a working supervisor of employees engaged in building equipment maintenance and operation, equipment operation, fleet maintenance, fleet equipment procurement, construction, or street maintenance.","An Airports Maintenance Superintendent plans, organizes, and directs, through subordinate supervisors, the work of several crews of skilled craft and maintenance workers engaged in the operation, custodial care, maintenance, alteration, repair, and construction of airports buildings, grounds, airfields, and appurtenant equipment, including complex air-conditioning equipment; applies sound supervisory techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.","MARCH 1, 2018","['Essay', 'Interview']",Two,FULL_TIME,,
20,AIRPORTS MAINTENANCE SUPERVISOR 3336 111618.txt,airports maintenance supervisor,"66,523","$97,321",2018-11-16,"1. Four years of full-time paid experience as an equipment operator, building repairer, building operating engineer, journey-level craft worker, or as a full-time supervisor of manual or semiskilled workers in building, custodial, or airfield facility maintenance, repair, operation, or street maintenance; or2. Six years of full-time paid experience as a lead worker in building, custodial or airfield facility maintenance, repair, operation, or street maintenance with the Los Angeles World Airports.","An Airports Maintenance Supervisor plans, organizes, and directs the work of a labor and maintenance crew performing a variety of maintenance activities on airport properties including the operations, custodial care, maintenance, alteration, repair and construction of airport buildings, airfields, and appurtenant equipment; and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","NOVEMBER 29, 2018","['Test', 'Essay', 'Interview']",Four,FULL_TIME,,
21,AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR 1788 120817.txt,airports public and community relations director,"86,777","$123,463",2017-12-08,"1.Two years of full-time paid professional experience as a Principal Public Relations Representative or in a class at that level with responsibility for public relations program management and development with the City of Los Angeles; or2.Graduation from an accredited four-year college or university with a degree in journalism, English, public relations, or communications and two years of full-time paid professional experience in supervising a public relations staff responsible for a comprehensive public information program; or3.Graduation from an accredited four-year college or university and four years of full-time paid professional experience in public relations managing a comprehensive public information program.","An Airports Public and Community Relations Director plans, develops, administers and assists in the planning and administration of the public and community relations programs of the Los Angeles World Airports; advises management of the potential public relations effect of proposed actions; maintains and develops strong community outreach programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","DECEMBER 21, 2017",['Questionnaire'],Two,FULL_TIME,four,College or University
22,ANIMAL CARE ASSISTANT 4323 020119.txt,animal care assistant,"39,337","$57,545",2019-02-01,"1. Current employment with the City of Los Angeles; and2. At least six months of full-time paid experience as a Vocational Worker with the City of Los Angeles performing animal care work; and 3. A letter of recommendation from the personnel office of the employing department where the above experience was obtained, which includes a statement of the department's willingness to hire the employee as an Animal Care Assistant. The letter must be attached to the application at the time of filing.","Animal Care Assistants perform work in the receiving, care, and disposition of animals in the City animal shelters; and work with Animal Care Technicians in performing such work.NOTES:Animal Care Assistants are hired in lieu of Animal Care Technicians. Employment as an Animal Care Assistant is intended to develop skills necessary for regular full time employment with the City as an Animal Care Technician. Upon successful completion of probation, Animal Care Assistants will be offered Charter Section 1014 transfers to Animal Care Technician.The Animal Care Assistant class will be utilized for the duration of the Targeted Local Hire Program solely as a vehicle to transition Targeted Local Hire Program participants to full time regular employment as an Animal Care Technician.",,[],,,,
23,ANIMAL CARE TECHNICIAN 4310 040116 REV 041416.txt,animal care technician,"38,565","$56,396",2016-04-01,"1. 1,040 hours of experience (paid or volunteer) in the care or maintenance of companion animals, which must include dogs, cats, or rabbits; or2. Completion of 3 semester units or 4 quarter units from an accredited college or university in animal health or animal care.","An Animal Care Technician receives and cares for all types of domestic and wild animals; assists with transferring animals to other shelters; explains regulations regarding disposition of animals to the public; works with the public to adopt animals both in the shelter and at mobile adoption events; cares for dangerous and/or diseased and injured animals; interfaces with medical staff regarding the health of animals; and cleans kennels, cages, vehicles, buildings, yards and equipment.  Animal Care Technicians must assist in humanely euthanizing animals due to disease, injury or overcrowded conditions. Animal Care Technicians require contact with the public, volunteers, adoption partners, local veterinarians/clinics, internal staff and staff in other departments; and must provide excellent customer service and animal care.An Animal Care Technician must be available for assignment to various shifts, weekends, and holidays, at any one of the animal care centers located in Central Los Angeles, South Los Angeles, West Los Angeles, San Pedro and the San Fernando Valley.","APRIL 21, 2016","['Test', 'Interview']",,,,
24,ANIMAL CARE TECHNICIAN SUPERVISOR 4313 122118.txt,water treatment operator,"65,646","$81,536",2018-12-21,"A valid T2 (or higher) Water Treatment Operator license and a D1 Water Distribution Operator License issued by the California State Water Resources Control Board, Division of Drinking Water, are required at the time of filing. ","A Water Treatment Operator does skilled work in the operation, regulation, maintenance and repair of equipment used in the treatment of potable water.NOTE:Entry-level positions are trainee positions. A Water Treatment Operator in a training position must obtain a T3 (or higher) Water Treatment Operator license and be assigned to a permanent position within three years. A Water Treatment Operator in a trainee position receives extensive on-the-job training, which must be completed prior to assignment to a permanent position. Assignment to the highest pay grade may require higher-grade certification.CONDITIONS OF EMPLOYMENTA Water Treatment Operator may be assigned to a night shift or continuous shift requiring 10 consecutive days on shift and 4 days off. Routine assignments will be made to either the Los Angeles Aqueduct Filtration Plant or the field operations section of the Water Operations Division. Work locations include the greater Los Angeles and Owens Valley areas.Water Treatment Operators will be required to work with hazardous chemicals. Cal/OSHA Regulations require that all employees engaged in such work must wear a Self-Contained Breathing Apparatus (SCBA). Therefore, all Water Treatment Operators will be medically evaluated to certify that they are physically able to wear the SCBA and must be free of any facial hair that would impair a good SCBA mask-to-face seal.","JANUARY 10, 2019",['Test'],,,,
25,ANIMAL CONTROL OFFICER  4311 061518.txt,animal control officer,"46,374","$67,818",2018-06-15,"1. One year of full-time paid experience performing animal care, maintenance or control of domestic or wild animals; or2. Successful completion of 12 semester units or 18 quarter units from an accredited college or university in Animal Science, Animal Management, Administration of Justice, or related course work.","An Animal Control Officer enforces State and City ordinances dealing with the care, treatment, licensing, and impounding of animals in an assigned area of the City; picks up sick, injured, stray, vicious or unwanted animals; conducts humane investigations; conducts permit inspections, issues citations, and makes arrests; may be required to handle money accurately and collect animal licensing and other fees; and keeps records and prepares reports which may be used as legal evidence. Animal Control Officers may work alone at night and on graveyard shifts.",,"['Test', 'Questionnaire']",One,FULL_TIME,,
26,ANIMAL KEEPER 4304 083118.txt,animal keeper,"45,810","$66,983",2018-08-31,1. One year of full-time paid experience in the care and maintenance of exotic animals with a facility similar to the Los Angeles Zoo whose core function is the exhibition of a variety of exotic animals; or2. (a)Successful completion of the Animal Keeper Training program conducted by the Los Angeles Zoo; or (b)An equivalent program at an accredited school or college providing classroom and field work on the basic structure and function of exotic animals; basic nutritional requirements; recognition of the symptoms of animal diseases; sanitation measures; and aspects of animal behavior.,"An Animal Keeper cares for exotic mammals, birds, and reptiles (including venomous varieties) at the Los Angeles Zoo; observes and reports on animal behavior and condition for illnesses, compatibility, imminent birth and other signs reflecting the animal's well-being; prepares food for animals as instructed; maintains the exhibit premises in a clean and aesthetically pleasing manner; answers questions about animals from the general public; may make educational and other presentations before groups, and on radio and television; and may provide training and supervision to volunteers and students in caring for animals.","SEPTEMBER 13, 2018","['Essay', 'Interview']",One,FULL_TIME,,
27,APPLICATIONS PROGRAMMER 1429 062918.txt,applications programmer,"58,986","$86,255",2018-06-29,"1. Graduation from an accredited four-year college or university with completion of 24 semester or 36 quarter units in either information systems, computer engineering, or computer science; or2. Successful completion of a two-year course of study in information technology (IT) from an accredited college or trade school with at least 12 semester or 18 quarter units in IT coursework and two years of full-time paid experience performing systems or programming tasks in a professional IT environment."," An Applications Programmer prepares programs by analyzing specifications developed by systems professionals; determines computer processing requirements; develops systems and/or programming flowcharts, codes programs and/or integrates and enhances Commercial Off the Shelf (COTS) software solutions; tests, debugs, and corrects errors in programs; prepares program and systems documentation; assists in analyzing and resolution of computer systems problems; and performs basic network configuration, scripting, network and implementation tasks; maintains configuration databases and related processing; write SQL queries and distribute routine reporting for RDBMS; and performs other related duties.",,['Test'],two,FULL_TIME,four,College or University
28,APPRENTICE - METAL TRADES 3789 070816.txt,apprentice - metal trades,"63,036","$81,056",2016-07-08,"1. Eight months of full-time paid experience assisting in the performance of mechanical, machining, or metal trades; or2. One year of coursework in a metal trade or machine tool at the high school or trade school level.  One year of coursework is equivalent to two semesters or three quarters; or3. Completion of eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power.","An Apprentice - Metal Trades works as an apprentice in a specific metal trade, receives on-the-job training assisting a journey-level Sheet Metal Worker, Structural Steel Shop Worker, Blacksmith, Welder, or Auto Body Builder and Repairer; attends approved classroom instruction during off duty hours. ","JULY 21, 2016",['Test'],,,,
29,APPRENTICE MACHINIST 3764 071516.txt,apprentice machinist,"69,655","$89,544",2016-07-15,"1. Eight months of full-time paid experience as a mechanical helper in the mechanical, machining,  or metal trades; or2. One year of coursework in machine tool or metal trade at a high school or trade school level.  One Year of coursework is equivalent to two semester or three quarters ; or3. Completion of eight months in the Utility Pre-Craft Trainee training program sponsored by the Los Angeles Department of Water and Power.","An Apprentice Machinist works as an apprentice under close supervision, assisting journey-level machinists and receiving on-the-job instruction in using precision hand and machine tools in the repair, rebuilding, and dismantling, fabrication, and installation of machinery and equipment. ","JULY 28, 2016",['Test'],,,,
30,AQUARIST 2400 050214.txt,aquarist,"55,624","$69,133",2014-05-02,1. Graduation from a recognized four-year college or university with a major in a biological science; and2. Eighteen (18) months of full-time paid experience or the equivalent as an aquarist in the collection and care of live seawater specimens and the maintenance of a large seawater system.,An Aquarist procures and maintains a variety of live seawater animals and plant life in aquaria; and maintains the electrical and mechanical components of large seawater systems.,"MAY 15, 2014",['Evaluation'],,,four,College or University
31,AQUARIUM EDUCATOR 2493 010816.txt,aquarium educator,"50,342","$62,536",2016-01-08,"1. Graduation from an accredited four-year college or university with a major in a natural science or education, and one year of full-time or two years of part-time paid or volunteer out of classroom (informal) or in classroom (formal) teaching experience which includes marine or life science in the curriculum; or 2. Graduation from an accredited four-year college or university, and three years of full-time or six years of part-time paid or volunteer out of classroom (informal) or in-classroom (formal) teaching experience which includes marine or life science in the curriculum. ",An Aquarium Educator develops and teaches educational programs about Southern California marine life to a diverse audience in laboratory classrooms and other field locations throughout greater Los Angeles; and does related work. ,"JANUARY 21, 2016",[],one,FULL_TIME,four,College or University
32,AQUATIC DIRECTOR 2419  082517 REV 0090717.txt,aquatic director ,"74,082","$89,596",2017-08-25,"1. Graduation from an accredited four-year college or university; and2. Two years of full-time paid professional experience at the level of an Aquatic Facility Manager supervising lifeguards, overseeing and/or planning programs, working with community-based organizations, and ensuring public or patron safety.","An Aquatic Director plans, organizes, directs, and supervises the operation of a comprehensive aquatics program associated with public pools and open water facilities on a City-wide basis. ","SEPTEMBER 14, 2017",['Interview'],Two,FULL_TIME,four,College or University
33,AQUATIC FACILITY MANAGER 2423 052915 REVISED 060915.txt,aquatic facility manager,"44,933","$65,688",2015-05-29,Graduation from an accredited four-year college or university and 1200 hours of paid experience as a Seasonal Pool Manager or an Open Water Lifeguard II or in a class at that level supervising water life saving activities.,"An Aquatic Facility Manager directs or assists in the direction of the operation of a City pool, ocean beach, or lake facility; assigns, reviews, and evaluates the work of employees at these facilities; formulates, organizes, and conducts a comprehensive program of aquatic activities for adults and children at a City aquatic facility or may plan and organize specialized regional aquatic programs; coaches team and individual aquatic sports; conducts swimming, lifesaving, and instructor level classes; may act as a lifeguard; recruits, trains, certifies and supervises lifesaving personnel; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","JUNE 18, 2015",[],,,four,College or University
34,AQUEDUCT AND RESERVOIR KEEPER 5813 063017 (1).txt,aqueduct and reservoir keeper       ,"55,415","$68,841",2017-06-30,"1. Two years of full-time paid experience with water systems facilities in construction, maintenance, or operations; or2. Two years of full-time paid experience operating or maintaining large irrigation systems.","An Aqueduct and Reservoir Keeper patrols and inspects a reservoir, a section of an aqueduct, or water shed to locate actual or potentially unsafe or unsanitary conditions; operates gates and valves as instructed to control the flow of water; monitors pressure, flow and various alarm systems; operates remote valves through electrical control panels; and maintains reservoir grounds.VACANCIESIt is expected that most appointments made from the eligible list resulting from this examination will be to positions that are located in the Owens Valley near Bishop, Independence, and Lone Pine, California and Antelope Valley near Mojave, California.NOTE:  Some positions in the Owens Valley may require at least one year of data entry experience.","JULY 13, 2017",['Test'],Two,FULL_TIME,,
35,AQUEDUCT AND RESERVOIR SUPERVISOR 5816 091115.txt,aqueduct and reservoir supervisor,"94,419","$99,681",2015-09-11,"Three years of full-time paid experience as an Aqueduct and Reservoir Keeper with the City of Los Angeles.NOTES:1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects three or more moving violations and/or at-fault accidents. Or conviction of a major moving violation (such as DUI).WHERE TO APPLYApplications will only be accepted on-line.  When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon.  On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm?promotionaljobs=1 for Promotional Examinations.","An Aqueduct and Reservoir Supervisor supervises a group of employees engaged in patrolling and inspecting a reservoir or a section of the aqueduct to locate actual or potentially unsafe or unsanitary conditions, operating gates, valves, water measuring devices, and related equipment as instructed to control the flow of water, and maintaining reservoir grounds; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","SEPTEMBER 24, 2015",['Questionnaire'],Three,FULL_TIME,,
